long,latt,name,address,node
-115.31397,36.10032,Subway,"10140 W Tropicana Ave, Las Vegas, NV, 89147",5503377919
-115.140985,36.114816,Subway,"1040 E Flamingo, Las Vegas, NV, 89109",2747920069
-115.325266,36.218666,Subway,"10470 W Cheyanne, Las Vegas, NV, 89129",2590273363
-115.20736,35.997637,Subway,"10550 Southern Highlands Pky, Las Vegas, NV, 89141",5514940961
-115.243961,36.15877,Subway,"1105 S Rainbow, Las Vegas, NV, 89102",5794871693
-115.137099,36.101067,Subway,"1196 E Tropicana Ave, Las Vegas, NV, 89119",5717536771
-115.080246,36.157463,Subway,"1300 South Lamb Blvd., Las Vegas, NV, 89104",4807070083
-115.25986,36.19006,Subway,"1750 N Buffalo, Las Vegas, NV, 89128",5778125595
-115.205827,36.194768,Subway,"1940 N Decatur Blvd, Las Vegas, NV, 89108",5797720840
-115.062393,36.195631,Subway,"1961 N Nellis Blvd, Las Vegas, NV, 89115",5521321066
-115.207934,36.14976,Subway,"2003 S Decatur Blvd, Las Vegas, NV, 89102",5844881906
-115.143857,36.170738,Subway,"202 Fremont Street, Las Vegas, NV, 89101",3813314952
-115.119725,36.276183,Subway,"2225 E Centennial Pky, Las Vegas, NV, 89081",5509334872
-115.154721,36.144257,Subway,"2246 Paradise Road, Las Vegas, NV, 89104",5717338757
-115.279725,36.203209,Subway,"2255 N Rampart Blvd, Las Vegas, NV, 89128",137635135
-115.120187,36.099935,Subway,"2375 E Tropicana Ave, Las Vegas, NV, 89119",5711110340
-115.196665,36.20055,Subway,"2400 N Rancho Dr, Las Vegas, NV, 89130",137744853
-115.175464,36.14382,Subway,"2411 W Sahara Ave, Las Vegas, NV, 89102",1598802647
-115.118627,36.143786,Subway,"2520 S Eastern Ave, Las Vegas, NV, 89109",2782611911
-115.279114,36.143036,Subway,"2551 S Durango Dr, Las Vegas, NV, 89117",4583203043
-115.162593,36.136154,Subway,"2890 Las Vegas Blvd S, Las Vegas, NV, 89109",1490596711
-115.106691,36.173755,Subway,"3040 E Bonanza Rd, Las Vegas, NV, 89101",5463303735
-115.190312,36.132864,Subway,"3140 S Valley View Blvd, Las Vegas, NV, 89102",5798011074
-115.105835,36.129888,Subway,"3180 E Desert Inn Rd, Las Vegas, NV, 89121",3192094216
-115.168149,36.127659,Subway,"3200 Las Vegas Blvd S, Las Vegas, NV, 89109",1490596683
-115.212477,36.217188,Subway,"3201 N Rancho Dr, Las Vegas, NV, 89108",4809027073
-115.065143,36.131099,Subway,"3210 S Nellis Blvd, Las Vegas, NV, 89121",2427267788
-115.314995,36.128446,Subway,"3370 S Hualapai, Las Vegas, NV, 89117",5503634958
-115.101346,36.099834,Subway,"3395 E Tropicana Ave, Las Vegas, NV, 89120",2782625747
-115.171883,36.120814,Subway,"3411 Las Vegas Blvd S, Las Vegas, NV, 89109",5256188043
-115.15673,36.013238,Subway,"351 E. Silverado Ranch Blvd., Las Vegas, NV, 89183",6028219327
-115.13732,36.125667,Subway,"3519 S Maryland Pky, Las Vegas, NV, 89109",2463031878
-115.170072,36.115969,Subway,"3555 Las Vegas Blvd S, Las Vegas, NV, 89109",1306956346
-115.095422,36.11547,Subway,"3654 E Flamingo Rd, Las Vegas, NV, 89121",2556689418
-115.188264,36.101127,Subway,"3680 Tropicana Ave, Las Vegas, NV, 89103",5511137530
-115.176424,36.104582,Subway,"3770 Las Vegas Blvd South, Las Vegas, NV, 89109",5460588685
-115.172599,36.102368,Subway,"3785 S Las Vegas Blvd, Las Vegas, NV, 89119",4037708419
-115.17268,36.102217,Subway,"3791 S Las Vegas Blvd, Las Vegas, NV, 89109",4037708419
-115.155573,36.101144,Subway,"384 E Tropicana Blvd, Las Vegas, NV, 89109",3207282856
-115.088378,36.195551,Subway,"3939 E Lake Mead, Las Vegas, NV, 89115",5521321631
-115.196319,36.038051,Subway,"3962 Blue Diamond Rd, Las Vegas, NV, 89179",5509063548
-115.183144,36.116164,Subway,"3991 Dean Martin Dr, Las Vegas, NV, 89103",5853138653
-115.172576,36.089927,Subway,"3999 Las Vegas Blvd S, Las Vegas, NV, 89119",5509252026
-115.279686,36.116744,Subway,"4035 S Durango, Las Vegas, NV, 89147",5506106749
-115.085486,36.131924,Subway,"4111 Boulder Hwy, Las Vegas, NV, 89121",1037384603
-115.083928,36.173647,Subway,"4250 E Bonanza Rd, Las Vegas, NV, 89110",5173797024
-115.203217,36.101057,Subway,"4500 W Tropicana Ave, Las Vegas, NV, 89103",1746295321
-115.152106,36.107699,Subway,"4501 Paradise Road, Las Vegas, NV, 89169",2746802648
-115.137434,36.107621,Subway,"4505 South Maryland Pkwy, Las Vegas, NV, 89154",5717536772
-115.203085,36.115298,Subway,"4551 W Flamingo Rd, Las Vegas, NV, 89103",5509274225
-115.244591,36.300561,Subway,"4590 North Rancho, Las Vegas, NV, 89131",3921806660
